N_MODEL,embedding_size,hidden_size,n_layers,directions,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,300,500,1,1,0.832135440664292,0.8426543734077399,0.8072691214913558,0.7202197699811109,0.3031026252983294,0.3601766792144601
Model2,300,500,2,1,0.8028523805663965,0.8425330583525416,0.8065940144479091,0.557311821729376,0.28579952267303105,0.33958621963582325
Model3,300,500,3,1,0.7802278851523546,0.8283391968943346,0.7780333810778136,0.5416028221513817,0.19272076372315036,0.24080623267698426
Model4,300,500,1,2,0.8590554479236093,0.8791702050224433,0.8582713584018087,0.7291885461412135,0.45823389021479716,0.5387098469189021
Model5,300,500,2,2,0.8911869593044112,0.8977314084677909,0.8865042125578437,0.7826916542795125,0.5560859188544153,0.6278479405225568
Model6,300,500,3,2,0.8788207548597059,0.8898459298798981,0.8727478912350136,0.788579040342072,0.4809069212410501,0.5793633633830176
Model7,300,800,1,2,0.8813512442677839,0.891544340652675,0.8771193666444541,0.7715223405705932,0.5328162291169452,0.6001660412552656
Model8,300,800,2,2,0.9016000162104597,0.9058595171660803,0.8943397472746685,0.8342139278912165,0.5817422434367542,0.659721275409878
Model9,300,800,3,2,0.9058752740526684,0.9094989688220309,0.8997647887719123,0.8262143851654598,0.6079952267303103,0.6741756975804145
